Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitOn,Chrome 88.0.4324.96,,,2021-02-18 19:19:50,2021-02-18 19:20:59,1m - 8.242s,FAILED
,,,,,,,
Test Cases/BrowserProductElink,Chrome 88.0.4324.96,,,2021-02-18 19:19:52,2021-02-18 19:20:21,28.827s,FAILED
openBrowser(RegalURL),Chrome 88.0.4324.96,,,2021-02-18 19:19:53,2021-02-18 19:20:10,17.380s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Products""), 5000)",Chrome 88.0.4324.96,,,2021-02-18 19:20:10,2021-02-18 19:20:12,1.625s,PASSED
"mouseOver(findTestObject(""HomePage/ProductList/Products""))",Chrome 88.0.4324.96,,,2021-02-18 19:20:12,2021-02-18 19:20:12,0.671s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Bearings""), 10000)",Chrome 88.0.4324.96,,,2021-02-18 19:20:12,2021-02-18 19:20:13,0.423s,PASSED
"click(findTestObject(""HomePage/ProductList/Bearings""))",Chrome 88.0.4324.96,,,2021-02-18 19:20:13,2021-02-18 19:20:16,2.879s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/SmartInterchage""), 5000)",Chrome 88.0.4324.96,,,2021-02-18 19:20:16,2021-02-18 19:20:17,1.670s,PASSED
"click(findTestObject(""HomePage/ProductList/SmartInterchage""))",Chrome 88.0.4324.96,,,2021-02-18 19:20:17,2021-02-18 19:20:21,3.720s,FAILED
,,,,,,,
Test Cases/BrowserCatalogGuest,Chrome 88.0.4324.96,,,2021-02-18 19:20:21,2021-02-18 19:20:59,37.530s,FAILED
openBrowser(RegalURL),Chrome 88.0.4324.96,,,2021-02-18 19:20:22,2021-02-18 19:20:33,11.642s,PASSED
maximizeWindow(),Chrome 88.0.4324.96,,,2021-02-18 19:20:33,2021-02-18 19:20:36,2.223s,PASSED
"sendKeys(findTestObject(""HomePage/Search_area""), ""severe duty motors"")",Chrome 88.0.4324.96,,,2021-02-18 19:20:36,2021-02-18 19:20:36,0.530s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Search_Button""), 5000)",Chrome 88.0.4324.96,,,2021-02-18 19:20:36,2021-02-18 19:20:36,0.378s,PASSED
"click(findTestObject(""HomePage/Search_Button""))",Chrome 88.0.4324.96,,,2021-02-18 19:20:36,2021-02-18 19:20:37,0.463s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/Brand_Filter""), 5000)",Chrome 88.0.4324.96,,,2021-02-18 19:20:37,2021-02-18 19:20:57,19.865s,PASSED
"click(findTestObject(""ProductListPage/Brand_Filter""))",Chrome 88.0.4324.96,,,2021-02-18 19:20:57,2021-02-18 19:20:59,1.883s,FAILED
